Ano,Categoria,Produto,Quantidade(L.)
1978,DERIVADOS,-,41.607.777
1978,DERIVADOS,Espumante,-
1978,DERIVADOS,Espumante moscatel,-
1978,DERIVADOS,Base espumante,-
1978,DERIVADOS,Base espumante moscatel,-
1978,DERIVADOS,Base Champenoise champanha,-
1978,DERIVADOS,Base Charmat champanha,-
1978,DERIVADOS,Bebida de uva,-
1978,DERIVADOS,Polpa de uva,-
1978,DERIVADOS,Mosto simples,40.052.456
1978,DERIVADOS,Mosto concentrado,-
1978,DERIVADOS,Mosto de uva com bagaço,-
1978,DERIVADOS,Mosto dessulfitado,-
1978,DERIVADOS,Mistelas,242.150
1978,DERIVADOS,Néctar de uva,-
1978,DERIVADOS,Licorosos,479.971
1978,DERIVADOS,Compostos,75.000
1978,DERIVADOS,Jeropiga,60.000
1978,DERIVADOS,Filtrado,-
1978,DERIVADOS,Frisante,-
1978,DERIVADOS,Vinho leve,-
1978,DERIVADOS,Vinho licoroso,-
1978,DERIVADOS,Brandy,-
1978,DERIVADOS,Destilado,-
1978,DERIVADOS,Bagaceira,698.200
1978,DERIVADOS,Licor de bagaceira,-
1978,DERIVADOS,Vinagre,-
1978,DERIVADOS,Borra líquida,-
1978,DERIVADOS,Borra seca,-
1978,DERIVADOS,Vinho Composto,-
1978,DERIVADOS,Pisco,-
1978,DERIVADOS,Vinho orgânico,-
1978,DERIVADOS,Espumante orgânico,-
1978,DERIVADOS,Destilado alcoólico simples de bagaceira,-
1978,DERIVADOS,Vinho acidificado,-
1978,DERIVADOS,Mosto parcialmente fermentado,-
1978,DERIVADOS,Outros derivados,-
1979,VINHO DE MESA,-,211.252.982
1979,VINHO DE MESA,Tinto,154.736.439
1979,VINHO DE MESA,Branco,7.146.395
1979,VINHO DE MESA,Rosado,49.370.148
1979,VINHO FINO DE MESA (VINIFERA),-,46.129.710
1979,VINHO FINO DE MESA (VINIFERA),Tinto,14.356.453
1979,VINHO FINO DE MESA (VINIFERA),Branco,25.727.132
1979,VINHO FINO DE MESA (VINIFERA),Rosado,6.046.125
1979,SUCO,-,-
1979,SUCO,Suco de uva integral,-
1979,SUCO,Suco de uva concentrado,-
1979,SUCO,Suco de uva adoçado,-
1979,SUCO,Suco de uva orgânico,-
1979,SUCO,Suco de uva reconstituído,-
1979,DERIVADOS,-,35.370.846
1979,DERIVADOS,Espumante,-
1979,DERIVADOS,Espumante moscatel,-
1979,DERIVADOS,Base espumante,-
1979,DERIVADOS,Base espumante moscatel,-
1979,DERIVADOS,Base Champenoise champanha,-
1979,DERIVADOS,Base Charmat champanha,-
1979,DERIVADOS,Bebida de uva,-
1979,DERIVADOS,Polpa de uva,-
1979,DERIVADOS,Mosto simples,34.318.456
1979,DERIVADOS,Mosto concentrado,-
1979,DERIVADOS,Mosto de uva com bagaço,-
1979,DERIVADOS,Mosto dessulfitado,-
1979,DERIVADOS,Mistelas,60.300
1979,DERIVADOS,Néctar de uva,-
1979,DERIVADOS,Licorosos,34.000
1979,DERIVADOS,Compostos,-
1979,DERIVADOS,Jeropiga,20.000
1979,DERIVADOS,Filtrado,-
1979,DERIVADOS,Frisante,-
1979,DERIVADOS,Vinho leve,-
1979,DERIVADOS,Vinho licoroso,-
1979,DERIVADOS,Brandy,-
1979,DERIVADOS,Destilado,-
1979,DERIVADOS,Bagaceira,938.090
1979,DERIVADOS,Licor de bagaceira,-
1979,DERIVADOS,Vinagre,-
1979,DERIVADOS,Borra líquida,-
1979,DERIVADOS,Borra seca,-
1979,DERIVADOS,Vinho Composto,-
1979,DERIVADOS,Pisco,-
1979,DERIVADOS,Vinho orgânico,-
1979,DERIVADOS,Espumante orgânico,-
1979,DERIVADOS,Destilado alcoólico simples de bagaceira,-
1979,DERIVADOS,Vinho acidificado,-
1979,DERIVADOS,Mosto parcialmente fermentado,-
1979,DERIVADOS,Outros derivados,-
1980,VINHO DE MESA,-,130.308.185
1980,VINHO DE MESA,Tinto,101.659.755
1980,VINHO DE MESA,Branco,5.363.452
